text,created_at,retweet_count,favorite_count,is_retweet
"..Every year as the fire’s rage &amp; California burns it is the same thing-and then he comes to the Federal Government for $$$ help. No more. Get your act together Governor. You don’t see close to the level of burn in other states...But our teams are working well together in.....,11-03-2019 14:11:58,13137,51125,false"
RT @realDonaldTrump: https://t.co/zJ9nW8i3ao,11-03-2019 05:15:03,17418,0,true
https://t.co/zJ9nW8i3ao,11-03-2019 05:03:33,18729,61815,false
RT @TaraLaRosa: #NEW: Pres. Trump arrives at Madison Square Garden to a positive reaction from the crowd ahead of #UFC244 . https://t.co/OI…,11-03-2019 03:51:21,26502,0,true
RT @EricTrump: At #UFC244 - chanting “Donald Trump Donald Trump... USA USA” https://t.co/hiqKCw3cS9,11-03-2019 03:38:48,13484,0,true
RT @DonaldJTrumpJr: Despite the bullshit from blue checkmark Twitter when we walked into the arena it was overwhelmingly positive. @danawh…,11-03-2019 03:37:40,16946,0,true
RT @realDonaldTrump: A great new book by Howie Carr “What Really Happened How Donald J. Trump Saved America From Hillary Clinton” is on…,11-02-2019 22:28:27,22161,0,true
RT @realDonaldTrump: Tate Reeves will be a great Governor of Mississippi and what an electric Rally last night. Vote for Tate on Tuesday!…,11-02-2019 22:28:23,13377,0,true
"RT @realDonaldTrump: Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job Governor @MattBevin. Ke…,11-02-2019 22:27:52,15340,0,true"
RT @realDonaldTrump: Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming…,11-02-2019 22:27:50,15773,0,true
RT @realDonaldTrump: The Whistleblower has disappeared. Where is the Whistleblower?,11-02-2019 22:27:33,31799,0,true
RT @VP: Under President @realDonaldTrump we’ve cut taxes rolled back red tape unleashed American energy and forged free fair and recipr…,11-02-2019 22:26:52,10233,0,true
RT @realDonaldTrump: Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https…,11-02-2019 22:26:29,19075,0,true
Didn’t he pick the Whistleblower? https://t.co/yalRJr8DgA,11-02-2019 22:26:03,17312,62800,false
RT @WhiteHouse: When you look at what Democrats in Congress have accomplished compared to President @realDonaldTrump in just the past 2 wee…,11-02-2019 21:11:53,9949,0,true
RT @WhiteHouse: There is serious work to get done on behalf of this country—and Congressional Democrats are blatantly ignoring it. https://…,11-02-2019 21:11:34,8209,0,true
RT @WhiteHouse: While Democrats go on with their impeachment sham President @realDonaldTrump will continue working for the American people…,11-02-2019 21:11:26,9208,0,true
RT @MarshaBlackburn: .@HouseDemocrats have been holding a closed-door investigation in @RepAdamSchiff’s basement. After facing intense fl…,11-02-2019 21:11:14,7296,0,true
RT @WhiteHouse: The left's impeachment sham sure hasn't slowed President @realDonaldTrump down this week. See more: https://t.co/A68ueVC8…,11-02-2019 21:10:59,6665,0,true
A giant Scam! https://t.co/E2gcPaddD1,11-02-2019 21:10:22,16149,51467,false
RT @1k_kilgore: Someone feeling a bit left out? https://t.co/VDsy93Blft,11-02-2019 21:08:12,13570,0,true
"RT @TrumpWarRoom: President Trump on the mission that killed ISIS leader Abu Bakr al-Baghdadi:""American special operators executed a mast…,11-02-2019 21:07:37,8947,0,true"
RT @RyanAFournier: You can call Trump a bully racist xenophobe liar islamophobe fascist or even a Cheeto. None of it's true.THE T…,11-02-2019 21:07:07,25731,0,true
"RT @RealDrGina: Nancy &amp; Adam: We will worry about your ridiculous fake impeachment bs when ONE of your full-time candidates can fill a stad…,11-02-2019 21:06:23,12357,0,true"
RT @ksorbs: Keep on rolling. https://t.co/5vOLzTaoRm,11-02-2019 21:04:20,8210,0,true
RT @danielledsouzag: The Democrats are pushing the Impeachment hoax because they know the President is going to get re-elected in 2020. So…,11-02-2019 21:03:43,9222,0,true
RT @SteveScalise: Same story different day for Dems. They’ve wanted to impeach @realDonaldTrump from Day 1.First they tried to use the…,11-02-2019 21:02:23,8909,0,true
Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https://t.co/b12GFXv6tE,11-02-2019 21:01:44,19075,60585,false
The Whistleblower has disappeared. Where is the Whistleblower?,11-02-2019 20:57:58,31799,147412,false
"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job Governor @MattBevin. Kentucky is having the best economic year ever under Matt’s leadership. He is a fantastic guy who loves our Military our Vets and our 2nd Amendment. Vote Tuesday!,11-02-2019 20:55:19,15340,57206,false"
Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming way down with Eddie and your 2nd Amendment will be protected. Current Democrat governor has done a really poor job! VOTE EARLY FOR EDDIE!,11-02-2019 18:18:44,15773,59384,false
Tate Reeves will be a great Governor of Mississippi and what an electric Rally last night. Vote for Tate on Tuesday! https://t.co/5AZHe5DT9A,11-02-2019 18:12:22,13377,50671,false
A great new book by Howie Carr “What Really Happened How Donald J. Trump Saved America From Hillary Clinton” is on sale now. Howie is a talented New England force who was there at the very beginning!,11-02-2019 16:26:02,22161,95485,false
RT @mike_pence: If you want to send a message to the Do Nothing Democrats that Kentucky and America support President @realDonaldTrump—VOTE…,11-02-2019 02:48:33,9200,0,true
"RT @TeamTrump: ""While we're Creating Jobs and Killing Terrorists the Democrat Party has gone completely insane."" - President @realDonaldTr…,11-02-2019 02:48:02,23088,0,true"
RT @RepMarkMeadows: One reason why the 'quid pro quo' narrative is a fairy tale:Not only were Ukraine officials unaware aid was even bein…,11-02-2019 02:28:23,14309,0,true
RT @RepMarkMeadows: Speaker Pelosi said earlier this Congress that any impeachment effort would need to be done on a bipartisan basis.We…,11-02-2019 02:27:54,12654,0,true
RT @LouDobbs: Debunking Radical Dems. @RepMarkMeadows on former WH official Tim Morrison’s testimony vindicating @POTUS. #MAGA #AmericaFir…,11-02-2019 02:27:27,7410,0,true
RT @GOPLeader: Strong show of unity among Republicans today. ??% voted AGAINST impeachment sham. ???? https://t.co/vNJDq9ZfOi,11-02-2019 02:27:09,12462,0,true
RT @realDonaldTrump: The Greatest Witch Hunt In American History!,11-02-2019 02:20:00,37936,0,true
RT @IvankaTrump: This week @POTUS’s Interagency Task Force to combat #humantrafficking met and announced investments totaling $75M in the P…,11-02-2019 02:17:21,14611,0,true
The Whistleblower must come forward to explain why his account of the phone call with the Ukrainian President was so inaccurate (fraudulent?). Why did the Whistleblower deal with corrupt politician Shifty Adam Schiff and/or his committee?,11-01-2019 23:16:07,27378,108257,false
You can’t Impeach someone who hasn’t done anything wrong!,11-01-2019 22:48:59,52049,284621,false
Oh no Beto just dropped out of race for President despite him saying he was “born for this.” I don’t think so!,11-01-2019 21:51:45,34336,193168,false
Republicans have never been more unified than they are right now! The Dems are a mess under the corrupt leadership of Nervous Nancy Pelosi and Shifty Adam Schiff!,11-01-2019 21:40:15,23587,107447,false
....our great police are being disrespected even with water dumped on them because a Mayor and Governor just don’t “have their backs.” New York’s Finest must be cherished respected and loved. Too many prople are leaving our special New York. Great leaders would work....,11-01-2019 21:11:29,11375,49793,false
.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!,11-01-2019 21:11:29,10394,46874,false
I love New York but New York can never be great again under the current leadership of Governor Andrew Cuomo (the brother of Fredo) or Mayor Bill DeBlasio. Cuomo has weaponized the prosecutors to do his dirty work (and to keep him out of jams) a reason some don’t want to be...,11-01-2019 21:11:28,20253,84260,false
"....in New York and another reason they are leaving. Taxes and energy costs are way too high Upstate is being allowed to die as other nearby states frack &amp; drill for Gold (oil) while reducing taxes &amp; creating jobs by the thousands. NYC is getting dirty &amp; unsafe again as....,11-01-2019 21:11:28,6653,25344,false"
.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!,11-01-2019 21:02:15,1075,4033,false
....our great police are being disrespected even with water dumped on them because a Mayor and Governor just don’t “have their backs.” New York’s Finest must be cherished respected and loved. Too many prople are leaving our special New York. Great leaders would work....,11-01-2019 21:02:14,579,2068,false
"....in New York and another reason they are leaving. Taxes and energy costs are way too high Upstate is being allowed to die as other nearby states frack &amp; drill for Gold (oil) while reducing taxes &amp; creating jobs by the thousands. NYC is getting dirty &amp; unsafe again as,11-01-2019 21:02:13,464,1555,false"
I love New York but New York can never be great again under the current leadership of Governor Andrew Cuomo (the brother if Fredo) or Mayor Bill DeBlasio. Cuomo has weaponized the prosecutors to do his dirty work (and to keep him out of jams) a reason some don’t want to be...,11-01-2019 21:02:05,1186,4183,false
"Stock Market up BIG! Record highs for S&amp;P 500 and NASDAQ. Enjoy!,11-01-2019 14:08:56,19073,88249,false"
....Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to create jobs and protect your Second Amendment. GET OUT AND VOTE for Eddie the next Governor of the GREAT State of Louisiana!,11-01-2019 14:08:18,11752,41990,false
LOUISIANA! Extreme Democrat John Bel Edwards has sided with Nancy Pelosi and Chuck Schumer to support Sanctuary Cities High Taxes and Open Borders. He is crushing Louisiana’s economy and your Second Amendment rights....,11-01-2019 14:08:17,16916,58078,false
Louisiana I’ll see you tonight. Big Rally for Eddie R. He will be a GREAT GOVERNOR. Early voting starts! @EddieRispone,11-01-2019 13:55:43,1034,3560,false
....@FoxNews  @BillHemmer  The public is watching and seeing for themselves how unfair this process is. Corrupt politicians Pelosi and Schiff are trying to take down the Republican Party. It will never happen we will take back the House!,11-01-2019 13:52:22,13309,50301,false
“Adam Schiff has taken all of the power for himself. That is very unfair. There were dozens of people on this call yesterdays witness knew that and had no problems (nor did any of them). Facts matter and that’s why this is not about Impeachment.” Guy Lewis former prosecutor...,11-01-2019 13:52:19,16937,64284,false
ISIS has a new leader. We know exactly who he is!,11-01-2019 13:38:39,42212,243303,false
“The Democrats need more than this.” @tombrokaw  Much more!,11-01-2019 13:36:10,8897,39025,false
“The Democrats are so immersed in this (SCAM). They couldn’t care less about the American people!” @RushLimbaughEIB,11-01-2019 13:33:50,13843,52533,false
Wow a blowout JOBS number just out adjusted for revisions and the General Motors strike 303000. This is far greater than expectations. USA ROCKS!,11-01-2019 12:52:00,24349,101441,false
Chicago will never stop its crime wave with the current Superintendent of Police. It just won’t happen! Thank you to Kevin Graham and all of the GREAT Chicago Police Officers I just had the privilege to meet. Tremendous crime fighting potential if allowed to do your thing!,11-01-2019 12:39:58,17544,73728,false
“This is the biggest most disgusting scandal and it’s all on the Democrat  Party that has highjacked the Impeachment process our tax dollars the House of Representatives to push their 2020 Election. That’s what’s going on.” @marklevinshow  Cannot be said any better!,11-01-2019 12:29:39,19333,70163,false
“It has been 3 years and Donald Trump hasn’t done anything wrong. Donald Trump hasn’t done a single thing of which he has been accused.” @RushLimbaughEIB  @seanhannity  A Witch Hunt like no other!,11-01-2019 12:14:36,17886,73286,false
Thanks Lee! https://t.co/TE5xHk3YzO,11-01-2019 12:09:10,12223,47812,false
RT @woodruffbets: New: Tim Morrison said he didn't think the president broke the law on his call with Zelensky and that he didn't think th…,11-01-2019 03:48:46,10580,0,true
But the Crooked Democrats don’t want people to know this! Thank you to Tim Morrison for your honesty. https://t.co/1AxrArFJ6c,11-01-2019 03:48:12,19276,61061,false
A great place! https://t.co/4RfSNw3RZf,11-01-2019 02:00:07,10054,48543,false
Thank you! https://t.co/8yUP8Pex8c,11-01-2019 01:57:18,15725,66035,false
....this decision but in the end it will be best for all concerned. As President I will always be there to help New York and the great people of New York. It will always have a special place in my heart!,11-01-2019 01:32:45,15693,81525,false
1600 Pennsylvania Avenue the White House is the place I have come to love and will stay for hopefully another 5 years as we MAKE AMERICA GREAT AGAIN but my family and I will be making Palm Beach Florida our Permanent Residence. I cherish New York and the people of.....,11-01-2019 01:32:44,24152,112011,false
....New York and always will but unfortunately despite the fact that I pay millions of dollars in city state and local taxes each year I have been treated very badly by the political leaders of both the city and state. Few have been treated worse. I hated having to make....,11-01-2019 01:32:44,15315,76863,false
RT @IngrahamAngle: The Dems days of bullying the American people are over— they will not disenfranchise the voters in 2020 with a sham impe…,11-01-2019 00:50:38,12125,0,true
RT @IngrahamAngle: Headline November 11 2020: “Exit Polls link loss of more than two dozen 'moderate' Dem seats to Schiff's impeachment re…,11-01-2019 00:50:14,10819,0,true
The home of Nancy Pelosi. I can’t believe her voters can be happy with the job she and the Do Nothing Democrats are doing! San Francisco has really gone down hill. So sad! https://t.co/z0Tms6gkDy,11-01-2019 00:48:11,20711,72813,false
RT @IngrahamAngle: Heroin addict drags NYPD cop with his car — and wins $11 million in court https://t.co/jWsRXdljBj via @nypmetro,11-01-2019 00:38:45,6445,0,true
While the Do Nothing Democrats FAIL the American People and continue the Impeachment Scam my Administration will continue to deliver REAL RESULTS as seen over the past month below! https://t.co/dxjHusgiFX,10-31-2019 22:44:26,30681,103267,false
RT @IvankaTrump: “…surrounded by enemies and spies catching and perverting every word that falls from my lips or flows from my pen and inv…,10-31-2019 22:43:52,52449,0,true
RT @RepLeeZeldin: Just voted NO on the impeachment inquiry resolution.Doesn’t ensure minority subpoena power or release of transcripts. D…,10-31-2019 20:19:17,13064,0,true
RT @GOPoversight: Democrats don't care about the facts or passing legislation. They only care about impeaching the President less than 13 m…,10-31-2019 20:19:14,12160,0,true
RT @RepMarkMeadows: Democrats keep trying to tell you they're *reluctantly* pursuing impeachment.Reminder: since @realDonaldTrump took of…,10-31-2019 20:19:13,19030,0,true
RT @RepMarkMeadows: Washington Democrats made every effort to take down this President with a fake Russian collusion scandalIt failedTh…,10-31-2019 20:18:59,12307,0,true
RT @GOPLeader: The worst part about their sham impeachment is all the things that are NOT getting done:?? Government is NOT funded ?? Our…,10-31-2019 20:18:56,14982,0,true
RT @RepArrington: Today @HouseDemocrats will continue an impeachment inquisition that is nothing more than an illegitimate witch-hunt. The…,10-31-2019 20:18:50,8154,0,true
"RT @MikeKellyPA: After weeks of Adam Schiff's secret hearings &amp; selective leaks the Do-Nothing-Dems are trying to legitimize the unfair in…,10-31-2019 20:18:40,8716,0,true"
RT @GOPLeader: BREAKING ? 100% of Republicans just voted AGAINST this sham impeachment. Two Democrats joined us.Speaker Pelosi and Chairm…,10-31-2019 20:18:37,25754,0,true
RT @RepPeteKing: Voted AGAINST Impeachment Resolution. Voted FOR Constitution and America. The fight goes on. God Bless America!,10-31-2019 20:18:35,13906,0,true
RT @RepMeuser: Today’s vote on the impeachment resolution is a continuation of the farce that Speaker Pelosi and Chairman Schiff are trying…,10-31-2019 20:18:32,9181,0,true
RT @RepDougCollins: Fact: Pelosi’s inquiry is officially the first presidential impeachment inquiry in modern history authorized by members…,10-31-2019 20:18:25,22114,0,true
RT @SteveScalise: ?? BREAKING: Dems are voting to continue their Soviet-style impeachment scheme.They're not interested in due process.T…,10-31-2019 20:18:22,12991,0,true
RT @FLOTUS: Trick-or-Treat  @WhiteHouse #Halloween2019 https://t.co/fkxu03qImu,10-31-2019 17:42:10,10562,0,true
The Greatest Witch Hunt In American History!,10-31-2019 15:31:46,37849,181124,false
The Impeachment Hoax is hurting our Stock Market. The Do Nothing Democrats don’t care!,10-31-2019 14:57:30,24450,105620,false
....our manufacturers. We should have lower interest rates than Germany Japan and all others. We are now by far the biggest and strongest Country but the Fed puts us at a competitive disadvantage. China is not our problem the Federal Reserve is! We will win anyway.,10-31-2019 14:37:45,11956,47363,false
"People are VERY disappointed in Jay Powell and the Federal Reserve. The Fed has called it wrong from the beginning too fast too slow. They even tightened in the beginning. Others are running circles around them and laughing all the way to the bank. Dollar &amp; Rates are hurting...,10-31-2019 14:37:39,14896,59982,false"
READ THE TRANSCRIPT!,10-31-2019 13:29:19,23892,105864,false
China and the USA are working on selecting a new site for signing of Phase One of Trade Agreement about 60% of total deal after APEC in Chile was canceled do to unrelated circumstances. The new location will be announced soon. President Xi and President Trump will do signing!,10-31-2019 13:24:32,18291,77931,false
RT @brithume: The reality is that political ads are usually arguably true and arguably false. So who gets to decide what’s true and what’s…,10-31-2019 12:52:08,7072,0,true
"Congratulations to @FoxNews you left @CNN &amp; @MSNBC in the dust (that’s because the don’t tell the truth!). https://t.co/C87eV3Zp7B,10-31-2019 12:50:35,12444,47571,false"
"RT @CableNewsWatch: ???? Congratulations @GregGutfeldShow #1 show in cable news Saturday 18-49 &amp; 25-54 demosAlso 1.8M tuned in to the ""King…,10-31-2019 12:40:13,5151,0,true"
RT @AriFleischer: Joe Biden Repeatedly Asked Agencies To Do What Son's Clients Wanted https://t.co/J96lmY8xcv,10-31-2019 12:34:31,9926,0,true
RT @AmericaNewsroom: THE HEADLINER: @AriFleischer responds to Joe Biden and Beto O'Rourke's criticism of President Trump taking credit for…,10-31-2019 12:34:07,5752,0,true
RT @AriFleischer: There was a time when MSM would have gone into a feeding frenzy against a Congressman who stopped the other party from as…,10-31-2019 12:33:51,13023,0,true
RT @TVNewsHQ: Watch: “Joe Biden is the wrongest person on earth to be talking about al-Baghdadi’s raid. He’s the man who opposed the raid a…,10-31-2019 12:32:40,6388,0,true
Thank you Matt. https://t.co/vDZqYIrgBy,10-31-2019 12:29:24,8297,32375,false
...never be allowed to roll into a winter showtrial. Indeed allowing a long drawn out trial in the Senate would merely validate and perpetuate the fraud begun in the House. The crisis is of the Democrats own making and it’s up to Republicans to make sure this never happens....,10-31-2019 12:20:13,10401,42843,false
.....to any President of either party again. Laura @IngrahamAngle,10-31-2019 12:20:13,9513,39969,false
“Now is the time for Republicans to stand together and defend the leader of their party against these smears. It would be one thing if there were any indication of an underlying crime but there is not-not in the transcripts and not in the secret witness testimony that.....,10-31-2019 12:20:12,21523,83393,false
.....the Dems have selectively leaked. Nor was there any corrupt intent on the part of the President. Remember the President knew that that call was being heard and documented by many people. Anyone with intent would be a tad more discreet don’t you think? This farce should....,10-31-2019 12:20:12,6735,23928,false
Congratulations to the Washington Nationals on a great season and an incredible World Series. Game 7 was amazing! @Nationals,10-31-2019 04:49:56,9299,59979,false
Thank you Daily Wire. Very cute recreation but the “live” version of Conan will be leaving the Middle East for the White House sometime next week! https://t.co/Z1UfhxsSpT,10-31-2019 04:36:04,20442,98711,false
The Do Nothing Democrats have gone Crazy. Very bad for USA! https://t.co/3zApgOOA7I,10-31-2019 04:17:08,14391,57035,false
https://t.co/z0I7wBsgTP,10-31-2019 01:26:48,38879,129556,false
The Democrats have been on this path for 3 years. The first headline I saw...before the President was sworn in was that the Impeachment process was beginning...so this is just further evidence that this is what they had in mind from the very beginning. @senatemajldr https://t.co/scFWSh47Bq,10-30-2019 20:42:43,20062,63830,false
Thank you @GLFOP! https://t.co/IpoUY7QPM2,10-30-2019 20:21:54,11113,38294,false
“Adam Schiff’s drive to impeach Trump based on opinions deception and illusions – Not facts” @GreggJarrett https://t.co/N31CGYraYP,10-30-2019 19:54:02,18913,61417,false
We will be having a big rally for Governor @MattBevin on Monday night in Kentucky. Get your tickets today! https://t.co/uoPhCLGHpH,10-30-2019 19:49:44,13014,42063,false
Early voting in Louisiana for a man who will be a Great Governor @EddieRispone on Saturday November 2nd. He will get your Auto Insurance and Taxes way down. He will protect your Military Vets Second Amendment and Energy....,10-30-2019 18:44:32,15636,55783,false
....Your current Governor John Bel Edwards has done a poor job with economic development (last in nation) and auto insurance (highest in nation) wants to raise your taxes BIG - vote for Eddie starting Saturday!,10-30-2019 18:44:32,10411,39222,false
AMERICAN HERO! https://t.co/XCCa2sGfsZ,10-30-2019 17:54:14,87593,440073,false
Thank you @GM @FiatChrysler_NA @Toyota and @GloblAutomkrs for standing with us for Better Cheaper Safer Cars for Americans. California has treated the Auto Industry very poorly for many years harming Workers and Consumers. We are fixing this problem! https://t.co/cf6I1e0yjQ,10-30-2019 17:19:56,12751,45597,false
My friend Mike @GovDunleavy of the Great State of Alaska is being treated very unfairly by the Democrats because he is doing an unbelievable job and fulfilling every one of his promises. Now they are trying to Recall him because his agenda is the Economy Jobs and protecting...,10-30-2019 17:16:26,14996,55281,false
...our Military 2nd Amendment Energy and so many other things that the Democrats don’t care about. Please stop the Dems from hurting a very good and hard-working man!https://t.co/uUnWOtVxBV,10-30-2019 17:16:26,10757,40695,false
....the United States Military. Congress needs to do its work. We need to fund our Armed Forces.”  @senatemajldr Mitch McConnell.  The Dems are a lost cause. In 2020 we need a big beautiful WIN (all three)! #MAGA,10-30-2019 14:51:35,14081,53977,false
"“Our Country cannot afford for the Democrats in Congress to take a one year vacation from any productive legislation just because they would rather obsess over Impeachment. ISIS &amp; other radical terrorists are not going to hit the pause button because Democrats won’t fund......,10-30-2019 14:51:34,20710,76458,false"
“Precisely the same program that the Democrats are trying to  Impeach President Trump for supposedly slow walking tomorrow right here in the Senate they (the Dems) say they’re going to filibuster for the exact same program.” @senatemajldr Mitch McConnell. Do Nothing Democrats!,10-30-2019 14:32:46,14174,52981,false
Yesterday’s Never Trumper witness could find NO Quid Pro Quo in the Transcript of the phone call. There were many people listening to the call. How come they (including the President of Ukraine) found NOTHING wrong with it. Witch Hunt!,10-30-2019 12:59:14,22297,93682,false
A Federal Judge is allowing the Nick Sandman libel suit to move forward against the thoroughly disgusting Washington Post (which is no longer available at the White House!). He could now have a good chance of winning. Go Nick!,10-30-2019 12:26:21,26524,109926,false
“It does appear it has to do with Nancy Pelosi retaining her Speakership in the next Congress. She would like that so she’s going to put it to a vote because that’s what her political left really wants.” @SteveDoocy @foxandfriends  A disgraceful use of Impeachment. Will backfire!,10-30-2019 12:17:21,16428,65690,false
The Greatest Economy in American History!,10-30-2019 11:38:06,25215,137028,false
RT @realDonaldTrump: Nervous Nancy Pelosi is doing everything possible to destroy the Republican Party. Our Polls show that it is going to…,10-30-2019 11:35:45,33611,0,true
RT @realDonaldTrump: Just confirmed that Abu Bakr al-Baghdadi’s number one replacement has been terminated by American troops. Most likely…,10-30-2019 11:35:22,52046,0,true
RT @realDonaldTrump: 95% Approval Rating in the Republican Party a record. Thank you!,10-30-2019 11:32:56,24845,0,true
Republicans are very unified and energized in our fight on the Impeachment Hoax with the Do Nothing Democrats and now  are starting to go after the Substance even more than the very infair Process because just a casual reading of the Transcript leads EVERYBODY to see that.....,10-30-2019 11:32:09,13694,60207,false
.....the call with the Ukrainian President was a totally appropriate one. As he said “No Pressure.” This Impeachment nonsense is just a continuation of the Witch Hunt Hoax which has been going on since before I even got elected. Rupublicans go with Substance and close it out!,10-30-2019 11:32:09,10478,47158,false
RT @RepMarkMeadows: Democrats go 4+ weeks with a secretive free for all no rules impeachment process—and now try to save face with a shor…,10-30-2019 04:03:23,17753,0,true
RT @GOPoversight: Days since @RepAdamSchiff learned the identity of the whistleblower: 78 https://t.co/YKSa5rpGPs,10-30-2019 03:09:07,8339,0,true
"RT @RepMattGaetz: MUST-READ: ""Gaetz: 'Donald Trump Is Innocent and the Deep State Is Guilty'""https://t.co/FXSdXJjLS2,10-30-2019 03:09:05,11494,0,true"
RT @RepDougCollins: Adam Schiff wants to impeach @RealDonaldTrump for not going along with the “impeachment” inquiry that even Democrats ha…,10-30-2019 03:08:59,13022,0,true
RT @RepGregPence: After seven weeks of running a communist-style ultra-partisan effort to undo the 2016 election results under the disguis…,10-30-2019 03:08:54,12115,0,true
"RT @RepJeffDuncan: Now Pelosi &amp; Schiff want to pretend they are being transparent—after they corrupted &amp; tainted the process for weeks in s…,10-30-2019 03:08:50,11878,0,true"
RT @RepGosar: Nancy Pelosi's impeachment resolution further restricts the participation of duly elected Members of Congress from their part…,10-30-2019 03:08:42,9142,0,true
"RT @CongressmanHice: Once again @SpeakerPelosi proves that Democrats have no intention of giving @realdonaldtrump a fair shake in this ""im…,10-30-2019 03:08:32,8275,0,true"
RT @Jim_Jordan: Dems’ impeachment resolution:-Cuts Oversight and Foreign Affairs out of public hearings-Pretends to give @DevinNunes sub…,10-30-2019 03:08:30,17489,0,true
RT @RepDougCollins: This resolution is a bogus attempt to legitimize an “impeachment” effort that doesn’t offer real fairness due process…,10-30-2019 03:08:28,8912,0,true
RT @RepLeeZeldin: This impeachment resolution just introduced is fatally flawed. Just another awful misstep by House Dems running a circus…,10-30-2019 03:08:26,11795,0,true
RT @CoachUrbanMeyer: ???? God bless the incredible Men and Women who serve our country. God bless America. Justice served! https://t.co/2LmEC…,10-30-2019 03:08:22,5422,0,true
Nervous Nancy Pelosi is doing everything possible to destroy the Republican Party. Our Polls show that it is going to be just the opposite. The Do Nothing Dems will lose many seats in 2020. They have a Death Wish led by a corrupt politician Adam Schiff!,10-29-2019 15:14:30,33535,134978,false
“Over in Europe and Japan they have NEGATIVE RATES. They get paid to borrow money. Don’t we have to follow our competitors?” @Varneyco  Yes we do. The Fed doesn’t have a clue! We have unlimited potential only held back by the Federal Reserve. But we are winning anyway!,10-29-2019 15:13:58,16146,63299,false
